OTUId	CM30b51-B	CM30b51-M	CM30b58-C	CM30b58-I	CM30b60-E	CM30b60-M	CM30c-O	CM30c-P	CM30c28-N	CM30c28-P	CM30c30-L	CM30c30-N	CM30c35-B	CM30c35-D	CM30c37-E	CM30c37-L	CM30c39-A	CM30c39-E	CM30c44-B	CM30c44-C	CM30c46-D	CM30c46-O	CM30c51-H	CM30c51-I	CM30c53-B	CM30c53-I	CM30c60-A	CM30c60-B	CM30c62-D	CM30c62-M	CM30d12-H	CM30d12-L	CM30d3-D	CM30d3-L	CM31a5-A	CM31a5-B	LB1-A	LB1-E	LB5-A	LB5-I	Plot1-B	Plot1-L	Plot2-C	Plot2-M	Plot3-H	Plot3-N	Plot4-A	Plot4-N	Plot5-I	Plot5-N	Plot6-I	Plot6-N	Plot7-M	Plot7-N	Plot8-I	Plot8-O
OTU_16;size=18527;	0	0	1	0	12683	1	0	0	0	0	0	0	0	0	5446	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_11460;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4878;size=29;	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	3	0	0	0
OTU_4801;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2322;size=43;	5	0	2	1	2	0	0	1	0	0	0	0	1	0	0	0	1	1	3	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	2	2	0	3	0	1	3	1	0	0	0	1	0	1	0	0	0	0	4	2	0	0
OTU_5763;size=6;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
OTU_3061;size=13;	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10398;size=11;	0	0	0	3	0	0	70	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_722;size=282;	59	0	80	10	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	71	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0
OTU_2820;size=36;	6	5	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	2	0	0	2	0	4	0	0	3	2	0	0	0	0	0
OTU_10151;size=10;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7067;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5020;size=7;	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14979;size=4;	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
