Group,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Otu328,0,0,0,0,0,0,0,0,0,0
Otu329,1,0,0,0,0,0,0,0,0,0
Otu330,0,0,0,0,0,0,0,0,0,1
Otu331,0,0,0,0,0,0,0,0,0,0
Otu332,0,0,0,0,0,0,0,0,0,0
Otu333,0,0,0,0,0,0,0,0,0,0
Otu334,0,0,0,0,0,0,0,0,0,0
Otu335,0,0,0,0,0,0,0,0,0,0
Otu336,0,0,0,0,0,0,0,0,1,0
Otu337,0,0,1,0,0,0,0,0,0,0
Otu338,0,0,0,0,0,0,0,0,0,0
Otu339,0,1,0,2,0,0,0,0,0,0
Otu340,1,0,0,1,0,0,0,0,0,0
Otu341,0,0,0,0,0,0,0,0,2,0
Otu342,0,0,0,0,0,0,0,0,0,2
Otu343,0,0,0,0,0,0,0,0,0,1
Otu344,0,0,0,0,0,0,0,0,0,0
Otu345,0,0,0,0,0,0,0,0,0,0
Otu346,0,0,0,1,0,0,0,0,0,0
Otu347,0,0,0,0,0,0,0,0,0,0
Otu348,0,0,1,0,0,0,0,0,0,0
Otu349,0,0,0,0,0,0,0,0,0,0
Otu350,0,0,0,0,0,0,0,0,0,0
Otu351,0,0,0,0,0,0,0,0,0,0
Otu352,0,0,0,0,0,0,0,0,0,0
Otu353,0,0,0,0,0,0,0,0,0,0
Otu354,0,0,3,0,0,0,0,0,0,0
Otu355,0,0,0,0,0,0,0,0,0,0
Otu356,0,0,0,0,0,0,0,0,0,0
Otu357,0,0,0,0,0,0,0,1,0,0
Otu358,0,1,0,0,0,0,0,0,0,0
Otu359,0,0,0,1,0,0,0,0,0,0
Otu360,0,0,0,0,0,0,0,0,0,0
Otu361,0,0,0,1,0,0,0,0,0,0
Otu362,0,0,0,0,0,0,0,0,2,0
Otu363,0,0,1,0,0,1,0,0,1,0
Otu364,0,0,0,0,0,0,0,0,1,0
Otu365,0,0,2,0,0,0,0,0,0,0
Otu366,0,1,0,0,0,0,0,0,0,0
Otu367,0,2,0,0,0,0,0,0,0,0
Otu368,0,1,0,0,0,0,0,0,0,0
Otu369,0,0,0,0,0,1,0,0,0,0
Otu370,0,0,0,0,0,0,0,0,0,2
Otu371,0,0,0,0,0,0,0,0,0,0
Otu372,0,0,0,0,0,0,0,0,0,0
Otu373,0,0,0,0,0,0,0,0,0,0
Otu374,0,0,1,0,0,0,0,0,0,0
Otu375,0,6,0,0,0,14,0,0,0,0
