,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1720795.5850,0,0,13,0,0,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0
SRR1720796.5469,2,0,6,13,3,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0
SRR1720795.3986,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.5835,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.2488,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.2310,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.5072,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.3118,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.3602,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SRR1720795.7579,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.3381,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.6975,0,0,1,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.5790,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.5064,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720807.4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
SRR1720801.820,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.2657,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.2338,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.4614,0,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.4004,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.4397,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.3932,0,7,0,0,0,0,14,1,0,8,0,0,0,0,0,0,0,0,0,0
SRR1720807.5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
SRR1720795.7556,0,0,9,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720810.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
SRR1720803.3870,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0
SRR1720798.1740,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4132,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.5533,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720808.4725,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,0,0,1,0
SRR1720795.2529,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720803.1297,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0
SRR1720795.1093,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720810.2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
SRR1720795.5591,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.3179,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4236,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.5116,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720811.3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
SRR1720797.798,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.1070,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR1720809.4605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
SRR1720811.1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
SRR1720804.253,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
SRR1720798.2688,0,0,6,1,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.2112,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4529,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.1746,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.1127,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR1720796.3595,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720812.718,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
SRR1720795.2785,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.1897,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.4843,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.3811,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
