OTU_id	Plot03-H	CM30c39-A	CM30c-P	Plot06-I	CM30c46-O	CM30b58-I	CM30c44-C	Plot03-N	Plot04-A	LB5-I	CM30c30-L	CM30c28-P	CM30c60-B	CM30b51-B	CM30c46-D	Plot01-B	CM30c-O	CM30d12-H	Plot08-O	CM30c37-E	CM30c35-D	Plot01-L	Plot05-N	Plot07-M	CM30d12-L	CM30c53-B	CM31a5-B	CM30c53-I	CM30c37-L	CM30c30-N	CM30b60-M	LB5-A	CM30b51-M	CM30c39-E	LB1-A	CM30b58-C	CM30d3-D	CM30d3-L	CM30c28-N	Plot04-N	Plot02-M	LB1-E	CM30b60-E	CM30c62-D	CM30c60-A	CM30c62-M	Plot07-N	Plot06-N	Plot08-I	CM30c51-H	CM31a5-A	CM30c51-I	Plot05-I	CM30c44-B	CM30c35-B	Plot02-C
M00598_54_000000000-ABCWN_1_2101_18922_5619|gene_FolCO1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_11713_22254|gene_FolCO1	0	0	23	0	51	331	0	18	0	30	56	0	2	0	157	0	0	100	0	0	1	0	0	0	0	133	2	594	0	2	0	31	21	0	60	53	0	0	70	0	0	0	0	0	0	0	0	0	25	0	6	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1110_13201_11495|gene_FolCO1	1	0	16	0	0	20	0	97	7	3	0	0	0	13	2	0	0	0	3	0	155	0	1	0	2	2	0	0	0	0	6	0	0	0	0	3	0	13	0	2	8	0	0	828	1	360	0	1	0	0	0	0	36	0	12	0
M00598_54_000000000-ABCWN_1_2104_6373_8274|gene_FolCO1	15	0	86	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	58	8	0	20	0	0	0	9	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	1	1	0	1	0	0	1172	0
M00598_54_000000000-ABCWN_1_1119_18035_12369|gene_FolCO1	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	6	0	1	5	0	31	0	4	5	0	0	0
M00598_54_000000000-ABCWN_1_1113_14440_20123|gene_FolCO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1552	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_25366_12930|gene_FolCO1	0	0	136	0	0	0	0	1	0	0	0	164	47	0	0	0	0	0	247	0	0	0	0	0	0	0	682	0	32	0	148	0	0	141	0	0	0	0	0	6	0	0	0	0	0	0	0	0	23	0	0	0	84	0	0	0
M00598_54_000000000-ABCWN_1_1101_17499_6785|gene_FolCO1	0	0	0	0	0	0	0	0	0	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	35	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_4204_6826|gene_FolCO1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1318	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	15	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_25245_3899|gene_FolCO1	0	184	0	0	0	0	1494	0	0	0	0	0	0	229	0	0	13	0	0	3	0	0	0	63	0	0	0	0	15	0	8	0	0	0	0	0	255	1	0	0	0	0	137	0	0	0	99	34	0	0	0	0	0	44	0	0
