CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1107_20549_4957|gene_18S	30	67	21	0	0	148	20	4	0	503	358	8	5	0	0	46	1	0	0	0	0	0	60	108	0	226	9	0
M01895_13_000000000-ABYEE_1_1103_19949_5283|gene_18S	7	20	5	4	2	6	10	1	331	18	21	221	72	72	62	1	2	4	113	4	71	42	8	0	179	94	7	2
M01895_13_000000000-ABYEE_1_1102_12982_13873|gene_18S	37	117	88	55	61	155	202	109	116	215	346	63	268	33	44	175	32	216	35	141	39	159	149	366	24	304	172	106
M01895_13_000000000-ABYEE_1_1112_6858_6690|gene_18S	6	12	9	2	0	0	104	66	6	71	126	1	3	1	5	1	199	30	0	4	15	89	30	87	0	60	17	24
M01895_13_000000000-ABYEE_1_1103_19910_12363|gene_18S	8	2	6	11	6	40	22	187	25	21	62	4	7	2	12	12	7	104	0	0	35	89	26	194	5	15	26	32
M01895_13_000000000-ABYEE_1_2101_10882_24082|gene_18S	2	159	34	43	185	35	89	101	1	51	41	123	61	27	32	25	155	27	33	63	157	114	9	0	1	143	7	49
M01895_13_000000000-ABYEE_1_1101_3571_8450|gene_18S	0	492	0	0	0	6	0	0	0	2	0	0	0	0	0	239	0	0	0	2	1	0	9	0	0	0	13	0
M01895_13_000000000-ABYEE_1_1101_21656_12019|gene_18S	440	109	22	5	11	11	38	39	9	30	26	18	38	7	13	78	49	42	4	18	44	39	65	11	4	87	42	33
M01895_13_000000000-ABYEE_1_1107_21822_19458|gene_18S	0	0	0	0	0	0	0	1	0	0	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M01895_13_000000000-ABYEE_1_1101_21320_10715|gene_18S	52	1	90	12	217	37	24	302	4	2	15	7	424	0	16	16	16	95	108	41	96	244	5	104	16	1	5	80
M01895_13_000000000-ABYEE_1_1101_17962_2468|gene_18S	0	2	1	0	0	0	0	0	0	0	0	1	789	0	3	3	0	0	2	0	0	0	0	0	1	2	2	309
