OTU_id	CM30c60-A	CM30c37-L	CM30c28-N	CM30c28-P	CM30c60-B	Plot04-A	Plot08-I	CM30b58-C	CM30c30-L	CM30b60-M	Plot03-N	LB5-A	CM30c53-I	CM30c62-D	Plot07-N	CM30c37-E	Plot07-M	Plot05-I	CM30c39-A	LB1-E	CM30c30-N	CM30c62-M	CM30d12-L	Plot03-H	CM30c44-B	CM30c39-E	LB1-A	CM30c51-H	Plot08-O	CM30c35-D	CM30b60-E	CM30c-O	CM30c46-O	CM30b51-B	CM30b58-I	CM30d12-H	LB5-I	CM30c44-C	CM30d3-D	CM30d3-L	CM30c51-I	CM31a5-B	Plot05-N	Plot01-B	CM31a5-A	Plot04-N	CM30c53-B	CM30c35-B	Plot06-N	Plot06-I	Plot02-C	Plot01-L	CM30c46-D	Plot02-M	CM30c-P	CM30b51-M
M01895_13_000000000-ABYEE_1_1105_7239_16306|gene_ITS	1	0	0	0	0	0	0	0	0	0	538	0	1	0	0	0	0	0	0	0	0	0	0	11281	0	0	0	0	0	1	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1101_14424_2211|gene_ITS	404	455	1	31	576	1220	237	87	26	213	513	45	327	9	147	142	111	22	240	568	56	465	144	425	245	41	30	106	410	286	535	16	108	329	167	32	2291	12	587	298	373	385	219	267	196	294	68	345	244	129	130	157	4	20	51	93
M01895_13_000000000-ABYEE_1_1101_10022_9344|gene_ITS	1	1	3405	17	0	15	464	7537	23	0	323	30	972	63	0	0	0	1958	1	0	381	340	68	58	1	0	479	4	432	0	0	24	78	34	0	860	804	6	0	2187	0	0	1	2	1	3	720	4	1	0	0	0	9	1	0	2281
M01895_13_000000000-ABYEE_1_2104_11253_5064|gene_ITS	0	0	2	1	0	0	1	0	10014	1	0	0	0	3	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_21276_13074|gene_ITS	3	1	0	17154	6	0	0	0	0	0	4	0	4	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
M01895_13_000000000-ABYEE_1_1101_18730_1912|gene_ITS	1	0	4978	0	0	0	0	0	1	0	0	0	3391	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	9	0	1	0	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
M01895_13_000000000-ABYEE_1_1106_5020_20332|gene_ITS	1	717	0	1	0	0	3	11	0	0	41	0	3	0	1455	126	479	13	0	0	7	0	1162	791	0	0	32	0	336	3108	0	0	2245	285	71	0	16	50	6014	1486	1	0	3006	0	0	0	1	1045	261	2	24	1	37	6	1	2
M01895_13_000000000-ABYEE_1_1109_12021_15775|gene_ITS	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	8415	21	0	0	1	1	1	0	56	0	0	0	0	324	0	1	0	0	0	0	1	0	0	0	0	0	0	1016	0	0	0	0	0	298	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_17335_4108|gene_ITS	1	1	0	3	1756	0	0	0	0	0	3	0	0	0	3	3	1	0	0	5	0	0	0	0	0	0	37	0	0	0	1	0	0	0	4875	0	0	0	0	0	5554	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_6177_14930|gene_ITS	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12155	0	0	0	1	0	0	2	0	2	0	0	7	0	1	0	0	0	20	2	0	0	0	0	80	0	0
M01895_13_000000000-ABYEE_1_1101_16678_2030|gene_ITS	0	0	12750	0	0	2	1	0	2	1	0	0	247	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_8171_25534|gene_ITS	0	0	0	0	0	0	0	2	580	0	0	8461	0	0	0	0	0	2	0	0	210	0	0	0	0	0	5980	0	0	0	0	3	0	1	0	0	1586	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1103_19727_11739|gene_ITS	0	979	0	1	29	111	0	0	0	2	4	1	1512	0	2	0	0	10	1	0	2	94	611	3	6	0	0	0	0	15	0	0	0	189	0	28	39	0	1	1773	840	0	10	0	0	144	1282	1	0	1	0	0	0	375	0	1022
M01895_13_000000000-ABYEE_1_2113_18066_6073|gene_ITS	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	2	0	3	0	0	0	0	0	21	0	0	11432	0	0	35	0	0	0	0	0	581	0	0
M01895_13_000000000-ABYEE_1_1101_14637_3433|gene_ITS	0	0	0	0	1039	0	0	2	2	0	1	1	0	91	0	0	1	1	0	1	0	0	0	0	0	0	1	5216	0	0	0	0	0	0	1	2	0	0	0	1	3401	1	0	1298	2	0	0	1	0	0	1153	30	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_7023_26200|gene_ITS	0	0	3	0	0	2	1	0	5	22099	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1104_13268_1953|gene_ITS	1	0	0	2	1	0	0	2	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0
M01895_13_000000000-ABYEE_1_2105_13560_7054|gene_ITS	0	0	0	2	0	0	0	0	0	0	0	3931	0	0	0	0	0	0	0	0	4147	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1101_19986_7999|gene_ITS	59	320	0	0	5	0	0	0	0	901	0	0	2	1	16	13	13	72	1416	236	2	2	31	35	214	0	0	369	0	5	5492	1	0	2446	11	1	4	0	380	336	489	1	1546	44	0	0	0	1	1187	1	0	228	0	2	1	0
