OTU_id	CM30c28-P	Plot05-I	CM30c46-O	CM30b58-I	CM30c60-B	LB5-I	CM31a5-A	CM30c-O	Plot05-N	CM30d3-D	CM30c44-C	CM30c39-E	CM30c30-L	CM30c53-I	CM30b60-M	CM30c39-A	CM30b51-B	CM30d12-H	CM30c53-B	CM30c30-N	Plot03-N	CM30d12-L	Plot08-I	Plot06-I	Plot02-C	Plot03-H	Plot01-L	CM30c35-D	Plot08-O	LB5-A	CM30c60-A	Plot04-N	CM30b60-E	CM30c28-N	CM30c37-L	CM30c62-D	CM31a5-B	CM30c37-E	CM30c44-B	CM30d3-L	Plot01-B	LB1-E	Plot02-M	CM30b51-M	Plot07-M	LB1-A	CM30c-P	Plot06-N	CM30c46-D	Plot07-N	CM30c51-I	CM30c35-B	Plot04-A	CM30c51-H	CM30b58-C	CM30c62-M
M00598_54_000000000-ABCWN_1_2106_19459_1663|gene_26S	1	54	113	16	36	50	89	26	38	10	0	0	0	0	85	0	0	590	3	12	34	267	1345	0	215	181	1	30	768	0	51	0	0	37	0	183	233	0	0	120	0	0	1326	0	2	2	168	0	6	0	3	26	0	25	31	95
M00598_54_000000000-ABCWN_1_1113_28332_12312|gene_26S	0	0	0	0	0	51	0	0	0	0	2	2	0	0	1	0	43	3113	13	168	0	54	769	4	0	0	0	0	323	421	3	24	4	3	29	0	0	0	1	0	2	2	0	6	2	3	0	9	0	0	0	0	4	0	0	0
M00598_54_000000000-ABCWN_1_1102_23042_6216|gene_26S	160	116	165	736	30	205	140	6	80	64	248	137	3	86	31	34	592	30	55	7	79	69	5	62	373	132	349	43	23	33	7	249	122	39	164	96	266	95	62	79	203	11	425	185	40	7	67	368	17	22	50	233	508	126	675	217
M00598_54_000000000-ABCWN_1_1101_17340_1537|gene_26S	0	0	0	3927	0	0	1225	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	10	0	0	0	0	0	0	0	0	4	182	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
M00598_54_000000000-ABCWN_1_1103_19459_6387|gene_26S	26	0	0	397	5	0	890	2577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	2	0	0	0	0	0	31	0	59	163	0	0	0	22	0	0	0	0	0	205	0	0	0	1	3	0	57	97	0
M00598_54_000000000-ABCWN_1_1109_15057_20689|gene_26S	19	5	153	188	61	1535	147	37	55	263	409	58	5	79	56	245	173	38	14	28	55	66	90	47	118	127	172	80	142	23	60	69	440	3	441	1	356	100	212	127	189	291	15	62	54	26	81	166	2	67	72	84	340	156	54	56
M00598_54_000000000-ABCWN_1_1101_12119_1565|gene_26S	0	0	0	0	0	3234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
M00598_54_000000000-ABCWN_1_2106_26272_17608|gene_26S	24	122	150	416	15	106	423	96	314	835	245	133	0	10	20	196	232	133	5	48	10	201	76	66	155	67	36	131	59	9	9	76	205	22	409	23	632	556	121	122	27	213	59	135	111	24	260	147	103	126	19	247	91	340	1220	15
M00598_54_000000000-ABCWN_1_1101_7054_9054|gene_26S	0	331	0	365	0	62	0	0	120	47	0	231	0	0	15	1	18	16	0	0	0	80	0	22	0	0	0	0	3	124	0	13	120	0	41	0	0	0	0	1	0	25	0	0	67	11	0	116	0	24	0	0	0	0	1625	0
M00598_54_000000000-ABCWN_1_1101_21049_1856|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3465	0	0	0	0	1	12	0	898	0	0	0	0	0	0	0	0	0	0	1	210	0	0	0	5	0	0	0	0	16	0	0	0
M00598_54_000000000-ABCWN_1_1101_11965_6759|gene_26S	31	0	0	0	341	4	0	12	0	0	0	0	0	132	29	11	7	31	12	0	0	62	0	8	0	0	0	0	3140	0	0	0	14	0	168	0	0	0	0	0	0	0	0	945	0	0	0	224	0	0	0	69	181	0	0	243
M00598_54_000000000-ABCWN_1_1101_14194_2456|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2108_19819_16254|gene_26S	0	0	0	0	0	1072	0	0	0	1	0	0	0	0	0	0	0	0	0	115	0	0	2	0	0	0	0	0	1	1984	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2107_18305_5908|gene_26S	0	0	37	27	0	119	0	0	83	802	0	2	0	0	0	0	146	0	1	0	0	109	1	8	0	0	0	0	0	24	0	345	0	0	4	0	0	29	0	0	0	28	1	1	0	0	0	35	0	4	1	0	1456	0	257	0
M00598_54_000000000-ABCWN_1_1109_6180_12295|gene_26S	85	163	363	7	16	31	438	677	90	32	0	11	40	155	48	151	49	70	80	59	7	190	396	0	14	77	0	361	315	19	20	38	162	83	54	344	159	76	9	684	0	79	1237	6	36	88	193	9	58	38	4	118	1	9	126	165
M00598_54_000000000-ABCWN_1_1102_8194_15569|gene_26S	0	0	1	1	0	167	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	2384	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0	0	20	0	0	0
M00598_54_000000000-ABCWN_1_1115_17235_18190|gene_26S	0	0	0	27	0	0	0	0	500	844	0	0	0	0	4	0	492	0	0	0	0	4	0	0	0	0	0	52	0	0	2	0	1786	1	60	0	0	0	0	91	0	0	0	1	53	0	0	0	0	27	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_23868_20164|gene_26S	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	462	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_20648_22923|gene_26S	0	0	0	17	0	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	385	0	0	0	0	0	235	51	3	5	123	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2670
M00598_54_000000000-ABCWN_1_2110_25756_12047|gene_26S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3226	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1110_12947_13924|gene_26S	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2926	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1101_14648_4858|gene_26S	513	34	251	0	0	157	0	50	26	0	0	0	4	591	0	0	25	727	1070	94	3	50	366	8	0	153	0	110	255	117	0	6	4	624	71	42	147	5	0	172	0	52	166	0	0	101	68	0	142	0	0	0	0	0	12	200
M00598_54_000000000-ABCWN_1_2104_21185_6991|gene_26S	0	0	0	0	0	0	0	0	0	10	1	1924	0	0	162	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	0	2	0	0	0	200	0	1	0	0	675	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_13186_21320|gene_26S	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	2568	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	34	0	0	3	1	11	0	0	0
M00598_54_000000000-ABCWN_1_1102_23666_8642|gene_26S	0	0	0	0	0	902	0	0	0	66	0	0	0	0	0	253	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882	0	0	0	5	0	0	1	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_23709_8387|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1767	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_12099_2911|gene_26S	0	0	0	0	4	0	2387	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	19	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_15164_13301|gene_26S	25	0	51	12	0	361	0	165	0	11	0	0	49	15	65	0	1	245	0	20	0	16	1	1	0	0	0	0	306	447	0	24	20	29	0	0	97	0	76	186	0	29	0	51	0	29	0	0	182	0	0	0	0	0	190	0
M00598_54_000000000-ABCWN_1_1101_6996_9464|gene_26S	0	0	306	1	0	0	0	0	116	0	0	0	0	0	0	0	951	0	0	0	0	20	24	0	0	0	0	1004	0	6	0	0	0	10	63	0	0	0	0	0	0	1195	0	0	2	1	0	0	2	9	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_27671_18603|gene_26S	0	0	0	0	0	26	0	2	2	0	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	5	2271	4	0	11	0	0	0	351	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	1	0
M00598_54_000000000-ABCWN_1_1101_21212_5200|gene_26S	2150	66	833	265	73	226	183	195	88	192	28	204	14	593	24	15	171	338	835	58	27	161	255	25	67	140	49	229	394	74	7	63	56	355	46	41	93	121	13	227	32	159	365	114	13	192	116	35	44	13	36	167	270	41	237	315
