CM30c28	CM30c62	Plot07	LB1	Plot05	CM30c39	Plot01	CM30c53	CM31a5	CM30c46	CM30c	CM30d3	CM30c44	CM30c37	CM30c51	CM30d12	Plot03	CM30b58	CM30b60	Plot04	CM30c60	CM30b51	Plot08	LB5	CM30c30	Plot06	Plot02	CM30c35
M00598_54_000000000-ABCWN_1_1102_15935_22762|gene_16S	5	13	83	10	113	329	23	2	121	52	113	32	34	106	93	253	70	36	106	18	64	67	222	42	1	98	113	41
M00598_54_000000000-ABCWN_1_1102_19309_6068|gene_16S	1	7	238	118	87	339	350	6	8	39	27	111	263	199	80	62	76	232	390	234	18	200	48	24	0	187	44	66
M00598_54_000000000-ABCWN_1_2101_24884_17125|gene_16S	9	2	841	59	263	348	59	5	2	13	8	80	519	454	130	96	131	747	568	412	25	610	1	25	0	553	108	60
M00598_54_000000000-ABCWN_1_1105_13121_5416|gene_16S	23	63	142	109	342	219	150	73	41	124	186	158	109	306	78	153	295	298	211	428	34	185	146	66	22	247	90	65
M00598_54_000000000-ABCWN_1_1113_13426_5914|gene_16S	5	0	216	0	4	934	0	0	8	1	117	16	1	67	23	63	20	2	160	2	78	3	120	6	0	6	149	1
M00598_54_000000000-ABCWN_1_2118_19840_13943|gene_16S	2	0	143	230	59	99	0	0	2	33	14	133	7	120	54	40	53	85	77	14	6	16	28	260	4	5	116	104
M00598_54_000000000-ABCWN_1_1114_6258_14196|gene_16S	153	150	114	262	260	102	437	165	320	212	346	264	162	225	181	184	156	381	282	1014	47	372	178	309	99	227	97	118
M00598_54_000000000-ABCWN_1_1102_19189_15493|gene_16S	0	1	239	38	65	229	129	9	45	8	8	83	736	79	104	23	31	325	303	304	9	324	11	22	4	327	12	12
M00598_54_000000000-ABCWN_1_1111_13357_18905|gene_16S	48	40	138	347	222	359	0	179	236	1349	89	118	13	230	14	319	61	115	154	12	32	145	241	486	389	110	93	91
M00598_54_000000000-ABCWN_1_1102_9859_6473|gene_16S	125	59	91	149	110	42	126	135	287	212	199	128	133	61	99	105	59	170	91	260	22	171	101	203	118	42	40	41
M00598_54_000000000-ABCWN_1_1108_24245_13849|gene_16S	189	185	89	477	472	177	141	370	1311	541	677	336	19	312	106	325	191	338	183	383	92	463	338	292	74	243	238	149
M00598_54_000000000-ABCWN_1_1103_7079_4742|gene_16S	92	63	283	166	216	93	212	106	129	147	134	209	396	260	170	135	93	448	315	361	60	375	95	158	74	353	81	279
M00598_54_000000000-ABCWN_1_1108_15217_9522|gene_16S	4	3	141	61	199	340	4	0	66	75	33	47	43	331	40	74	40	107	86	0	36	18	110	25	7	85	157	228
M00598_54_000000000-ABCWN_1_2112_5866_11829|gene_16S	10	46	8	19	60	182	9	20	103	28	81	15	8	105	24	207	93	27	82	32	28	63	1247	41	5	7	107	86
M00598_54_000000000-ABCWN_1_1101_16177_23800|gene_16S	388	20	19	80	40	49	0	125	47	220	281	24	6	45	12	31	29	63	27	24	9	49	41	222	192	43	23	35
M00598_54_000000000-ABCWN_1_1106_23113_12383|gene_16S	3	0	128	1	30	162	101	0	0	0	16	9	459	42	471	29	33	42	273	25	81	56	0	0	0	104	34	0
M00598_54_000000000-ABCWN_1_1101_16653_8166|gene_16S	3	3	331	36	130	156	613	5	2	1	17	222	602	271	504	61	28	252	845	335	41	149	6	59	0	375	5	34
M00598_54_000000000-ABCWN_1_1101_21218_14611|gene_16S	0	0	199	27	0	642	19	0	0	0	1	72	260	33	0	0	0	0	393	2	0	0	0	2	0	61	1	0
M00598_54_000000000-ABCWN_1_1103_27427_20590|gene_16S	106	122	136	279	222	276	24	67	371	487	166	276	98	211	128	191	100	336	356	173	45	230	183	253	94	200	90	144
M00598_54_000000000-ABCWN_1_1117_17285_17981|gene_16S	23	38	310	94	285	352	2069	52	153	102	101	149	549	335	1374	351	84	389	910	572	205	359	44	61	9	400	48	81
M00598_54_000000000-ABCWN_1_1101_16661_7433|gene_16S	4	35	292	113	116	236	181	18	46	29	109	321	263	127	140	131	54	364	218	509	40	170	119	29	8	236	35	23
M00598_54_000000000-ABCWN_1_1102_20131_23136|gene_16S	13	52	431	150	370	1191	883	43	184	170	165	423	1161	451	467	312	84	453	906	1398	109	453	215	221	9	494	176	33
M00598_54_000000000-ABCWN_1_1101_25685_13217|gene_16S	135	96	19	375	110	43	10	142	224	264	1078	173	31	261	26	173	83	148	73	77	29	99	142	216	127	62	110	59
M00598_54_000000000-ABCWN_1_1111_5891_4570|gene_16S	0	3	37	1	18	3	262	0	1	0	0	0	102	66	273	19	0	104	210	226	17	103	1	0	1	196	0	0
M00598_54_000000000-ABCWN_1_1101_28166_13030|gene_16S	5	75	253	26	107	549	16	0	17	14	112	44	103	177	217	201	77	91	612	0	120	9	42	28	1	70	421	6
M00598_54_000000000-ABCWN_1_1113_11224_10121|gene_16S	17	63	34	128	147	374	0	3	342	16	148	98	0	111	214	488	89	54	240	40	188	151	467	301	22	40	126	40
M00598_54_000000000-ABCWN_1_1104_18614_2989|gene_16S	6	5	147	65	98	236	8	0	163	93	76	72	65	62	118	37	55	65	215	16	14	27	74	69	14	45	31	30
